"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Europe","Nebraska","Printed prods.","0.0558","0.0772","0.2512","0.0227","0.0305","0.2408","0.2415","0.1262","0.1731","0.643","0.6459","0.1299","0.1783","0.6474","0.6511"
"Europe","Nebraska","Textiles/leather","15.4512","23.5435","59.5475","16.4914","25.1922","59.9837","60.6092","14.6062","22.2972","56.2725","57.9126","14.3068","21.8443","55.1508","56.399"
"Europe","Nebraska","Nonmetal min. prods.","0.1388","0.1754","1.3235","0.2326","0.3231","1.8236","1.8795","0.1927","0.2571","1.512","1.6074","0.1804","0.2404","1.4189","1.5418"
"Europe","Nebraska","Base metals","0.0105","0.0128","0.0718","0.0018","0.0021","0.013","0.0123","0.0153","0.0185","0.0978","0.0937","0.0145","0.0175","0.0944","0.0819"
"Europe","Nebraska","Articles-base metal","10.3207","14.2279","26.5298","8.894","12.2086","28.2032","28.1656","2.5991","3.5681","8.1278","8.1618","2.5557","3.5086","7.9838","7.9861"
"Europe","Nebraska","Machinery","28.8927","38.6483","212.6062","30.9387","41.4746","231.9186","234.7759","30.9697","42.9875","259.2081","265.9437","30.368","42.1241","253.6033","262.5214"
"Europe","Nebraska","Electronics","0.832","0.8488","39.1118","2.4717","3.3169","73.3109","73.22","2.9334","3.7993","79.0804","79.2145","2.9556","3.8373","78.9858","78.6456"
"Europe","Nebraska","Motorized vehicles","3.4475","4.8142","30.318","2.9889","4.2825","26.142","26.4126","2.4215","3.1446","32.5328","33.2852","2.2728","2.9498","30.6216","31.812"
"Europe","Nebraska","Transport equip.","0.433000013867","0.64500006702","8.18470063162","0.5898012401","0.8947026704","10.060125868","14.5844","1.04709999969735","1.62519999925145","18.308400008231","19.0151","1.06679999969735","1.65529999925145","18.849800008483","19.7886"
"Europe","Nebraska","Precision instruments","4.1784","5.8965","92.8786","6.4582","8.9586","144.9059","146.4544","5.8358","8.1761","142.7729","145.4066","5.9619","8.3685","144.7468","148.9354"
"Europe","Nebraska","Furniture","0.92640182875","1.3483029244","4.9092034433","0.8052003386","1.17190192936","6.0981023597","6.8","0.31110031126","0.44290047106","2.85720057109","3.0749","0.29880030024","0.42600045573","2.74080055109","2.9921"
"Europe","Nebraska","Misc. mfg. prods.","1.0044","1.3014","7.604","2.5919","3.5972","26.1377","26.4077","3.5297","5.1712","37.874","38.4882","3.3919","4.9693","36.378","37.243"
"Europe","Nebraska","Waste/scrap","0.0108","0.0161","0.1481","0.0182","0.0275","0.2457","0.2329","0.0039","0.0059","0.0531","0.0511","0.0038","0.0057","0.0517","0.0368"
"Europe","Nebraska","Mixed freight","0.2693","0.3937","46.6475","0.2939","0.4306","53.5497","54.4738","0.4354","0.6344","99.3965","104.0252","0.4257","0.6195","96.8398","98.788"
"Europe","Nevada","Other ag prods.","0.62880039","1.015699738","1.87859691","0.15079989","0.189799973","0.66080146","0.8818","0.45770015","0.385499884","2.29909715","3.0096","0.43439988","0.364300466","2.18529519","2.7696"
"Europe","Nevada","Animal feed","0.68889999737","1.356700000475","0.3304000354","0.5076999851","1.0060999978","0.404599564","0.4667","0.4331","0.854","0.1208000039","0.1249","0.407","0.802","0.1143000039","0.1118"
"Europe","Nevada","Meat/seafood","0.03139998","0.058","0.1384","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","Nevada","Milled grain prods.","0.1529004","0.10420004","0.1909996","0.0751","0.0299","0.055299796","0.083","0.2279","0.0945998","0.1723","0.2587","0.21080005","0.0887","0.1621","0.2391"
"Europe","Nevada","Other foodstuffs","0.55169988","0.501399817","2.6789032","0.49529922","0.774099657","2.7487935","3.3029","0.72190323","0.462199681","2.976399","4.2738","0.69580039","0.447300078","2.872399","3.8768"
"Europe","Nevada","Alcoholic beverages","0.131","0.137499995","0.4236","0.1789","0.26260002","0.7630002","0.8016","0.10390004","0.1927","0.9391","0.9742","0.10420004","0.1956","0.9582","0.9987"
