commodity,curval_total_exported,curval_total_imported,state,tmiles_total_exported,tmiles_total_imported,tons_total_exported,tons_total_imported,value_total_exported,value_total_imported
Printed prods.,56.2849,68.9143,Kentucky,1.1846,1.6085000000000003,1.9556999999999998,3.1327,56.026399999999995,68.5966
Waste/scrap,,28.085300000000004,Kentucky,,15.643699999999999,,20.4547,,32.3576
Alcoholic beverages,,37.8898,Louisiana,,19.1855,,33.5295,,36.980199999999996
Animal feed,,10.374099999999999,Louisiana,,0.7615000000000001,,1.7869,,10.2556
Articles-base metal,150.06040000000002,138.3189,Louisiana,4.9173,3.1965000000000003,22.5642,21.4724,149.90189999999998,138.17239999999998
Base metals,,0.0109,Louisiana,,0.055099999999999996,,0.1843,,0.011800000000000001
Basic chemicals,690.8797999999999,208.98179999999996,Louisiana,354.2406,24.676399999999997,551.1250000000001,101.53300000000002,751.5127,226.93689999999998
Crude petroleum,53.563199999999995,46.744,Louisiana,99.2085,72.27850000000001,104.1279,89.8091,66.5745,59.4675
Electronics,3854.0201,3853.7869,Louisiana,20.036300000000004,18.859900000000003,366.8494,366.31600000000003,3873.2816999999995,3873.0472999999997
Furniture,,2.4722,Louisiana,,0.4778,,0.5981000000000001,,2.4201
Machinery,9.937199999999999,29.8802,Louisiana,0.0413,0.5615,0.2975,0.45410000000000006,9.697600000000001,29.150199999999998
Misc. mfg. prods.,19.2313,4.112500000000001,Louisiana,0.5836,1.19,0.6512,0.7931999999999999,18.9097,4.0443999999999996
Mixed freight,2.6338,806.3756999999999,Louisiana,2.7479,31.0248,0.9955,59.3662,2.5642,785.0810999999999
Motorized vehicles,,3.9772,Louisiana,,1.1189,,0.451,,3.882
Nonmetal min. prods.,,3.2226,Louisiana,,1.4675,,3.2392,,3.0397000000000003
Other foodstuffs,,28.953199999999995,Louisiana,,65.96279999999999,,29.7224,,28.0717
Paper articles,,1.7598,Louisiana,,1.5467,,1.0726,,1.7123
Pharmaceuticals,,2.1146000000000003,Louisiana,,0.0006000000000000001,,0.00030000000000000003,,1.8854000000000002
Plastics/rubber,248.1687,118.80709999999999,Louisiana,237.4885,3.5214,193.6481,2.7134,244.86429999999996,117.1626
Precision instruments,8.2836,43.876900000000006,Louisiana,0.0006000000000000001,1.0326,0.00030000000000000003,1.1732,8.127699999999999,43.042
Textiles/leather,23.671899999999997,50.46340000000001,Louisiana,1.8691,3.8019,2.0437000000000003,4.5991,23.1917,49.441500000000005
Chemical prods.,,16.3274,Maine,,5.7786,,3.0858,,16.4542
Electronics,9.1533,1.7592999999999999,Maine,0.7756000000000001,0.4475,0.5272,0.5243,9.1982,1.7682
Furniture,,0.1985,Maine,,0.1377,,0.048,,0.19419999999999998
Gravel,,1.3383,Maine,,7.0587,,25.0794,,1.2641
Misc. mfg. prods.,23.4441,11.592500000000001,Maine,0.8724000000000001,0.2404,0.6053,0.35860000000000003,23.0617,11.3977
Precision instruments,,3.4259000000000004,Maine,,0.11230000000000001,,0.3146,,3.3602
Alcoholic beverages,,7.999499999999999,Maryland,,1.8837000000000002,,5.33,,7.8058
Articles-base metal,1.048,17.326900000000002,Maryland,0.19490000000000002,2.6870000000000003,0.1749,2.8883,1.047,17.3077
Building stone,,429.6177,Maryland,,205.38099999999997,,324.3326,,415.828
Coal-n.e.c.,34.3997,10.1788,Maryland,0.4936,3.2187,11.573899999999998,23.9092,34.7636,10.3219
Electronics,392.0629,54.927800000000005,Maryland,4.2403,0.8893,4.845400000000001,0.3804,394.0247,55.19970000000001
Furniture,24.2089,6.4078,Maryland,7.271000000000001,3.4219999999999997,5.9438,1.9971,23.6948,6.2678
Machinery,29.8802,2.3461,Maryland,0.5615,0.00030000000000000003,0.45410000000000006,0.00030000000000000003,29.150199999999998,2.2892
Misc. mfg. prods.,126.6481,6.5837,Maryland,6.3838,0.593153,12.102799999999998,1.022014,124.541,5.053660000000001
Mixed freight,,28.6382,Maryland,,3.1870999999999996,,9.9618,,27.8823
Motorized vehicles,0.17420000000000002,1.2549000000000001,Maryland,0.015099999999999999,0.0912,0.0312,0.6092,0.1703,1.2259
Newsprint/paper,1.9208000000000003,5.0536,Maryland,0.12519999999999998,3.3109,0.7324,7.4085,1.8389,4.8378
Other foodstuffs,380.1375,169.8372,Maryland,108.9408,9.0822,361.4747,20.1289,368.6797,164.6543
Pharmaceuticals,,10.553999999999998,Maryland,,0.7255,,0.7341,,9.412500000000001
Plastics/rubber,,341.49969999999996,Maryland,,37.7444,,32.8313,,336.72540000000004
Precision instruments,,116.6298,Maryland,,1.5615,,1.4434,,114.3933
Printed prods.,465.2843,6.3050999999999995,Maryland,33.5682,0.24869999999999998,30.435199999999995,0.2698,463.1635,6.276
Transport equip.,13.5502,2.9006,Maryland,0.772,0.00030000000000000003,0.39159999999999995,0.00030000000000000003,13.0975,2.8005
Waste/scrap,,52.1612,Maryland,,50.0042,,211.0627,,59.993300000000005
Electronics,16.380499999999998,8.3248,Massachusetts,0.2122,1.1529,0.2868,1.3328000000000002,16.4624,8.366299999999999
Furniture,0.9533,1.3811,Massachusetts,0.2212,0.0007,0.2229,0.00030000000000000003,0.9329,1.3513
Live animals/fish,,1.6275,Massachusetts,,0.12160000000000001,,0.0698,,1.4344000000000001
Misc. mfg. prods.,45.3917,0.4234,Massachusetts,2.5979,0.6676,3.0524999999999998,0.6604000000000001,44.627900000000004,0.4163
Mixed freight,2.5131,36.0775,Massachusetts,0.2409,2.0096999999999996,0.1172,2.3375,2.4465000000000003,35.126599999999996
Motorized vehicles,,0.13040000000000002,Massachusetts,,0.0675,,0.0233,,0.1273
Nonmetal min. prods.,266.0915,1.2843,Massachusetts,59.919599999999996,0.24839999999999998,763.8272999999999,0.22499999999999998,250.4178,1.2113999999999998
Precision instruments,595.7995,5.6852,Massachusetts,30.3555,0.1661,9.6676,0.1701,584.376,5.5767
Printed prods.,,10.0338,Massachusetts,,1.1452,,1.0845,,9.987300000000001
Textiles/leather,25.8808,27.3761,Massachusetts,0.08370000000000001,0.48969999999999997,0.3114,1.0585,25.354499999999998,26.820000000000004
Animal feed,,2.6299,Michigan,,0.3074,,0.3012,,2.5957
Base metals,52.692600000000006,261.6705,Michigan,29.321499999999997,87.9964,13.378000000000002,196.1725,57.0363,283.5049
Basic chemicals,57.559900000000006,42.830600000000004,Michigan,8.305900000000001,331.2561,18.2603,374.5547,62.463899999999995,46.4733
Coal-n.e.c.,413.124,413.8809,Michigan,129.2299,131.12338999999997,761.3677,762.70386,414.4759,415.23976000000005
Crude petroleum,,53.563199999999995,Michigan,,99.2085,,104.1279,,66.5745
Electronics,68.6943,2.8974,Michigan,4.7126,0.1589,3.7622,0.2959,69.03829999999999,2.9118000000000004
Fertilizers,,28.1038,Michigan,,29.067699999999995,,52.6575,,29.687599999999996
Furniture,4.5957,47.132,Michigan,0.8674000000000001,5.7757,1.5809,7.42,4.4974,46.1271
Machinery,42.169999999999995,73.2849,Michigan,1.7134999999999998,0.7807000000000001,2.5493,1.3763999999999998,41.1526,71.50869999999999
Milled grain prods.,15.1701,0.9345,Michigan,6.6553,0.40950000000000003,10.4086,1.7311,14.951899999999998,0.9209999999999999
Misc. mfg. prods.,44.253,11.2553,Michigan,14.951600000000001,1.3619999999999999,8.241700000000002,0.5254000000000001,43.51690000000001,11.0683
Mixed freight,372.1098,1361.0347,Michigan,15.1484,133.2897,27.5872,454.4368000000001,362.25509999999997,1325.0531
Motorized vehicles,1272.7343999999998,33.9407,Michigan,225.32000000000002,16.5366,113.73079999999999,14.725000000000001,1242.6597999999997,33.1445
Nonmetal min. prods.,27.4447,1.36,Michigan,21.6452,0.00030000000000000003,25.288199999999996,0.00030000000000000003,25.9,1.2801
Other foodstuffs,,303.3278,Michigan,,129.6243,,411.84580000000005,,294.2813
Pharmaceuticals,62.7623,205.29500000000002,Michigan,1.3107,0.4787,1.4722,0.3591,55.8426,182.597
Plastics/rubber,10.563500000000001,441.6652,Michigan,5.505,97.9586,2.4751,144.34949999999998,10.4121,435.73260000000005
Precision instruments,110.7661,336.19989999999996,Michigan,2.3292,5.8727,2.738,2.5263,108.6396,329.7682
Printed prods.,35.2606,2.1781,Michigan,7.317,1.5127,3.2169000000000003,1.5218,35.0978,2.1681
Wood prods.,7.478,41.6729,Michigan,0.035500000000000004,42.797900000000006,0.8327,46.3309,6.8452,38.1693
Articles-base metal,1043.0558,1090.4675000000002,Minnesota,0.4226,19.7517,12.7055,26.5269,1041.9636,1089.3259
Basic chemicals,,41.330200000000005,Minnesota,,3.4027000000000003,,4.4379,,44.858200000000004
