,origin,dest,commodity,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tons_2012,tons_2013,tons_2014,tons_2015,value_2012,value_2013,value_2014,value_2015,curval_2013,curval_2014,curval_2015,value_total,tmiles_total,tons_total,curval_total
2122,,IL,Printed_prods,838.1768204211442,851.6885222020958,838.7683216843652,800.5618217937674,1510.7328009219939,1528.276607103625,1512.852107501825,1445.042707065803,5600.85020460426,5687.2497262053175,5641.647518660137,5359.988024602738,6048.235200000026,6035.711700000019,5760.647100000019,22289.7354740724,3329.195486101391,5996.904222593278,23445.444204604184
2123,,IN,Printed_prods,318.4621126166802,317.9055129390707,309.1412110163703,300.6329848336703,620.2320966184682,620.7158483861778,608.6764289115977,595.2329382033984,3344.194018433578,3330.8123156454817,3242.9743595501704,3164.2300801302763,3634.342100000007,3554.4761999999987,3486.7879999999996,13082.210773759502,1246.1418214057942,2444.8573121196496,14019.800318433572
2124,,KS,Printed_prods,142.97589958980043,142.00619647710005,142.8650969628002,149.45419774690015,227.2384000000003,222.56500373050017,220.1921045555003,230.13190451190036,1425.066504186,1381.990895940999,1360.1777990979995,1419.973099979998,1387.3431999999984,1367.7635999999982,1429.5582999999992,5587.208299204996,577.3013907766004,900.1274127979005,5609.731604186006
2125,,KY,Printed_prods,315.6334006659224,316.4605999813308,304.2268992846278,301.8712992324991,447.1933998388166,450.5650017747935,436.5474023400783,431.51750121498117,1732.3076129001881,1788.9502413532039,1734.897454189715,1725.4115514790487,1823.5176000000004,1772.6944999999948,1765.0458999999946,6981.566859922145,1238.1921991643867,1765.8233051686773,7093.5656129001845
2126,,LA,Printed_prods,174.750600047071,175.71659998550064,174.8035000434707,168.13900015047062,268.8719998413978,268.80719996292794,266.4666003333984,257.27610022639834,936.8867972328669,939.4278978142272,913.639501794766,873.5259988377668,942.757199999997,918.7939999999958,879.496699999997,3663.480195679642,693.4097002265096,1061.4219003641238,3677.934697232874
2127,,MA,Printed_prods,230.93598765339004,237.44204893871304,235.89567799893726,227.09736846362603,351.6739807489885,358.8142262084771,355.50037962513085,340.81645617848034,2371.556120787179,2396.526173398263,2375.588311156766,2269.8384010192244,2610.454399999999,2589.973100000005,2472.10980000001,9413.50900636142,931.3710830546647,1406.8050427610815,10044.093420787165
2128,,MD,Printed_prods,222.03030070463006,225.0943967007684,232.54160393959384,225.87029477893705,539.8715001484161,544.7118139475211,558.3574794829138,540.4608785882222,2189.363257621914,2233.9729669658764,2304.100977589147,2223.0047995799496,2254.625100000007,2339.1918000000032,2261.532500000006,8950.442001756834,905.5365961239266,2183.40167216708,9044.712657621923
2129,,ME,Printed_prods,74.33200375557008,82.37900413304993,83.99160323330005,81.81380403539005,77.53119670690019,85.5032021891901,86.94419964443016,84.58389992092012,512.3220102513004,570.3461211318001,586.1483106280004,568.6387930221994,574.7157000000002,590.6621000000004,573.8210999999994,2237.4552350332992,322.51641515731006,334.56249846143993,2251.5209102513013
2130,,MI,Printed_prods,748.4837352724292,744.1210123136516,729.4480772934472,714.7511483533542,1154.8856766716676,1140.156440746096,1101.030757413491,1079.6792580510826,4217.692892641921,4134.786378226746,3970.390310102838,3890.2709348223775,4369.133900000002,4220.6348000000025,4143.595500000014,16213.140515793837,2936.8039732328884,4475.752132882338,16951.05709264194
2131,,MN,Printed_prods,278.5399021216694,269.00610235327963,264.08160345278833,256.64290373868806,326.756299754004,313.6451013004048,303.9948011859154,295.1968012580151,2676.160904525974,2552.2928965071696,2488.151695493565,2394.148396303142,2561.361300000001,2500.819199999999,2409.207600000005,10110.75389282985,1068.2705116664274,1239.5930034983435,10147.549004525988
