orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Arkansas,Canada,Basic chemicals,6.537699996,7.4137,14.80820001,5.5401,6.4837,12.4695,3.2421,4.0604,7.336800029,3.2479,4.0532,7.349500029
Arkansas,Canada,Pharmaceuticals,0.0243,0.0214,1.476,0.0497,0.0454,1.9119,0.0327,0.0307,1.0041,0.0315,0.0297,0.9707
Arkansas,Canada,Fertilizers,22.8783,26.6878,9.819,1.4416,1.6759,0.6188,5.07,6.4827,2.1759,5.3676,6.8664,2.3037
Arkansas,Canada,Chemical prods.,16.113,16.3051,75.6387,15.8274,15.8484,74.5535,15.3391,15.8091,71.9593,15.8967,16.4607,74.5756
Arkansas,Canada,Plastics/rubber,32.3865,32.4238,107.0266,36.4484,35.9537,120.3246,37.7015,38.942,124.4468,38.972,40.4252,128.6349
Arkansas,Canada,Wood prods.,6.8348,7.7099,5.094,2.7571,3.1309,2.0549,3.6795,4.4368,2.7424,3.7434,4.5241,2.7901
Arkansas,Canada,Newsprint/paper,56.7798,50.1625,46.4028,51.8527,45.7454,42.3763,61.4714,54.6992,50.237,58.8831,52.4318,48.1215
Arkansas,Canada,Paper articles,3.7085,3.6359,9.808,3.9922,3.8679,10.5597,3.1015,3.0683,8.2039,3.0264,2.9994,8.0052
Arkansas,Canada,Printed prods.,5.682200996,5.852501171,25.53210485,11.24970142,11.52860226,50.6982044,11.59540281,11.78280388,52.17081109,11.65620295,11.84900403,52.44621179
Arkansas,Canada,Textiles/leather,0.723,0.80709955,7.192499767,0.855700017,0.9596996,8.51109995,0.947499933,1.086199917,9.561298833,0.939600017,1.07920015,9.47649975
Arkansas,Canada,Nonmetal min. prods.,16.0577,19.3876,12.7489,19.4728,23.8916,15.4352,12.9502,16.6224,10.3399,13.1649,16.8438,10.5092
Arkansas,Canada,Base metals,114.6025,130.2736,169.9486,77.8278,85.1286,115.6508,54.6685,64.1263,81.2352,51.183,60.1348,76.0558
Arkansas,Canada,Articles-base metal,110.0766006,133.1519027,311.8030007,152.3788016,185.1531044,432.4699918,66.03380113,79.97340202,187.4458991,62.7904005,76.15310189,178.2190033
Arkansas,Canada,Machinery,31.1985,33.3962,245.8214,29.5861,32.7121,233.4692,31.6613,34.4398,249.6402,32.6891,35.6943,257.7269
Arkansas,Canada,Electronics,5.751600731,6.168401501,159.2459536,5.295300976,5.822801332,147.1799315,4.834400568,5.230701534,134.2026405,4.987400613,5.411401634,138.3694414
Arkansas,Canada,Motorized vehicles,14.6265,14.477,120.1823,12.4926,15.023,102.7279998,10.4158,10.6869,85.5753,10.7723,11.1271,88.5064
Arkansas,Canada,Transport equip.,12.6712,38.209,387.8545,3.8416,4.9731,181.7448,1.1996,4.6371,33.8662,1.2527,4.8413,35.433
Arkansas,Canada,Precision instruments,0.456399977,0.457199997,22.0994659,0.465100002,0.475600004,21.2392956,0.579399998,0.593099997,26.2640957,0.566499998,0.580799997,25.6825999
Arkansas,Canada,Furniture,6.4667,9.1482,25.6811,6.1816,8.5769,24.4663,5.8704,8.6682,23.2095,5.7897,8.5346,22.8899
Arkansas,Canada,Misc. mfg. prods.,1.6988,2.5646,33.44520001,1.3943,1.7961,27.6317994,1.4294,1.9753,28.16550001,1.3903,1.9265,27.39679967
Arkansas,Canada,Waste/scrap,3.6342,4.2973,2.9024,6.6599,7.5809,5.3187,13.258,14.8851,10.5882,13.6662,15.3262,10.914
California,Canada,Live animals/fish,2.419202,2.83070297,9.904510838,1.636599801,1.854800148,13.24580391,1.595002376,1.799599623,18.94520332,1.690299639,1.915200179,19.07800321
California,Canada,Cereal grains,167.2910969,323.2866661,65.41468822,163.6819906,273.9612275,64.0077574,169.1141064,316.0376881,66.12828047,179.88808,338.9153489,70.34080489
California,Canada,Other ag prods.,2131.636701,4274.558203,2744.807901,2202.671201,4449.099803,2864.429301,2267.037902,4640.938504,3218.839802,2370.176502,4841.179505,3361.746802
California,Canada,Animal feed,92.4984,165.2984,75.7937,99.796,182.2461,81.7906,108.1363,216.1529,94.5186,109.7687,219.6841,95.8007
California,Canada,Meat/seafood,20.2433,35.9722029,99.54710467,26.67590123,48.08200377,131.203096,22.95610136,41.12520403,112.888097,21.9575014,39.21450409,107.9674967
California,Canada,Milled grain prods.,131.7343,248.1708,208.8701,139.2787,265.5115,221.0222,145.8228,281.5419,231.2197,143.4276,276.0152,227.4225
California,Canada,Other foodstuffs,534.8452,1040.574303,762.7928009,541.6110009,1062.725301,773.8267988,576.5546008,1130.992201,821.3130992,569.5080008,1118.6203,811.2591992
California,Canada,Alcoholic beverages,275.572601,557.5114009,460.0658017,253.172001,513.5319009,421.8725017,284.2762011,576.515501,476.1957018,289.9111011,586.6877011,485.3873019
California,Canada,Tobacco prods.,0.0179,0.0343,0.1936,0.1096,0.2532,1.1912,0.0945,0.1927,1.0244,0.0941,0.1911,1.0184
California,Canada,Building stone,0.9327,1.5991,0.1454,0.3301,0.5598,0.0515,0.2034,0.3226,0.0315,0.1912,0.3056,0.0298
California,Canada,Natural sands,13.5648,21.2711,0.3025,5.617,9.1312,0.125,5.7555,9.3563,0.1279,5.8582,9.5406,0.1304
California,Canada,Gravel,15.23088261,23.40284377,0.173400066,30.46869535,43.06522794,0.338200236,31.63758174,44.69182919,0.35119903,31.43416036,44.50787896,0.349099491
California,Canada,Nonmetallic minerals,95.03949534,187.3699858,7.334299617,86.61312553,156.3486391,6.676499648,73.79866251,132.5787412,5.721600258,67.15154131,120.4270281,5.20809954
California,Canada,Gasoline,637.7338,310.5734,491.4458,945.5175,458.8528,729.7615,1952.67,1411.2434,1506.6616,2185.2905,1589.2633,1685.8835
California,Canada,Fuel oils,215.9648,182.9359,150.496,338.0556,272.4523,235.5534,408.3964,501.2946,302.5434,481.049,587.0653,356.5766
California,Canada,Coal-n.e.c.,3161.29084,1966.18793,537.7827274,3165.934586,1969.065145,539.5389924,2546.383541,1583.735454,438.7059783,2547.031466,1584.138928,438.7869896
California,Canada,Basic chemicals,38.270003,76.381114,115.2609136,35.43880287,73.32481391,128.2975135,37.84200747,78.70371151,199.2482083,37.7359076,78.44241189,196.1748085
California,Canada,Pharmaceuticals,0.5252,0.902800044,173.3443994,0.299199996,0.512399989,227.1814,0.366199999,0.568800044,175.3453001,0.367100004,0.569199981,174.3822996
California,Canada,Fertilizers,26.2439,40.6913,11.2673,28.3479,47.2002,12.1662,24.9141,41.3019,10.6991,24.4154,40.3596,10.4842
California,Canada,Chemical prods.,78.82040501,162.7422123,474.3083325,78.04760454,159.2203111,476.385022,68.66910414,143.1807113,446.0155201,69.58720406,144.5408101,450.4631197
California,Canada,Plastics/rubber,150.035113,313.095534,514.0360529,154.847912,324.0828334,527.7212477,158.1093123,329.5579383,545.0878512,160.5918125,334.1900396,553.622552
California,Canada,Logs,0.8537,1.0269,0.1192,1.1992,1.3771,0.1853,0.0078,0.009,0.0012,0.0079,0.0091,0.0012
California,Canada,Wood prods.,82.4616,150.3171,61.87,79.2529,140.4209,60.7477,78.9206,141.6241,60.5271,82.548,147.5583,63.2969
California,Canada,Newsprint/paper,20.898401,44.74280263,17.06210082,15.03910076,32.325602,12.27130062,15.62750068,34.54160179,12.76990056,15.36280069,33.76650182,12.55300056
California,Canada,Paper articles,20.4966,37.8291,54.5805,22.1861,41.8015,59.2602,23.5331,44.1333,62.7,24.0687,45.0299,64.112
California,Canada,Printed prods.,24.664401,44.62350295,119.1869139,27.39870096,49.88510301,133.1313128,26.68040106,51.43220466,132.9995925,26.83030109,51.67250467,133.5678927
California,Canada,Textiles/leather,73.809312,154.9778368,762.2753161,75.83371192,158.090736,780.9573133,79.29951557,167.5090434,809.7680516,80.52321558,169.9588432,821.3343514
